Id,Title, Artist, Year, Duo, Explicit, Date Added, Styles, Languages
25945,"What Do Ya Think About That","Montgomery Gentry",2007,0,0,2012-02-22,Country,English
49220,"What You Get Is What You See","Lisa McHugh",2014,0,0,2015-06-22,Country,English
35166,"What's It Gonna Be","Busta Rhymes",1999,0,0,2013-12-07,"R&B,Rap",English
13649,"What a Beautiful Day","The Levellers",1997,0,0,2018-05-02,Rock,English
8050,"What's Going On?","All Star Tribute",2001,0,0,2013-11-12,R&B,English
26941,"Whatever It Takes","Michael Bublé",2009,1,0,2011-05-30,"Soft rock,Jazz,Duet",English
42732,"What Am I To You (Short)","Norah Jones",2002,0,0,2013-02-05,"Jazz, Pop",English
26584,"Do You Hear What I Hear?","Frank Sinatra",1973,0,0,2011-05-30,"Christmas,Oldies,Christian",English
37348,"What A Feeling","Alex Gaudino",2011,0,0,2012-01-10,"Dance,Electro",English
13953,"I Just Don't Know What To Do With Myself","Dusty Springfield",1964,0,0,2011-05-31,"Soft rock,Folk",English
25223,"What's Going On",Taste,1970,0,0,2012-06-13,Rock,English
44755,"What About Love","Austin Mahone",2013,0,0,2013-08-24,"Teen pop,Pop",English
34425,"What's Love Got To Do With It","Warren G",1996,0,0,2012-01-18,"Rap,Pop",English
34048,"I Know What Boys Like",Waitresses,1982,0,0,2012-04-04,"Pop,80s",English
38255,"Loca People (What the Fuck)","Sak Noel",2011,0,1,2013-04-25,"Electro,Dance,English",Spanish
25253,"I Don't Know What She Said","Blaine Larsen",2006,0,0,2011-09-23,Country,English
21371,"What Can I Do (Tin Tin Out Remix)","The Corrs",1998,0,0,2017-11-06,"Pop,Love",English
54839,"What Makes You Country","Luke Bryan",2017,0,0,2018-01-11,"Country,Rock",English
39474,"What Goes On","The Velvet Underground",1968,0,0,2013-07-26,"Alternative,Rock",English
46351,"You Know What They Do To Guys Like Us In Prison","My Chemical Romance",2004,0,0,2014-02-25,"Alternative,Rock,Punk/Grunge",English
53406,"(That's What You Get) For Lovin' Me","Elvis Presley",1973,0,0,2017-07-11,"Rock 'n Roll,Pop",English
31187,"What About Your Friends?",TLC,1992,0,0,2013-12-04,R&B,English
40122,"What Happiness Means To Me","Amy Macdonald",2010,0,0,2012-05-25,"Pop,Rock,Folk",English
42866,"Stronger (What Doesn't Kill You) (Acoustic)","Kelly Clarkson",2011,0,0,2013-02-17,"Pop,Rock",English
44451,"What Love is Made Of","Katy B",2013,0,0,2016-02-25,"Dance,Electro",English
54129,"What Are You Doing New Year's Eve?","Bette Midler",2005,0,0,2017-10-18,"Christmas,Jazz",English
54279,"What Child Is This? (Greensleeves)","Sarah McLachlan",2006,0,0,2017-10-30,"Christmas,Folk",English
54259,"Choose What You Love Most (Let It Kill You)","Lara Fabian",2017,0,0,2017-11-08,Pop,English
28754,"What I Like About You",Lillix,2003,0,0,2011-11-28,"Rock,Teen pop",English
14145,"What Hurts The Most",Cascada,2007,0,0,2008-08-22,"Dance,Pop",English
42861,"What You Want","Legally Blonde",2006,0,0,2013-07-24,"Musical,TV & movie soundtrack,Pop",English
35624,"What Can I Say After I Say I'm Sorry","1920s Standards",1926,0,0,2011-06-03,"Oldies,Jazz",English
29125,"What About Us",Ministry,2001,0,1,2012-06-01,"Hard/Metal,Rock",English
36193,"I Wonder What Would Happen To The World","Harry Chapin",1978,0,0,2011-06-03,"Pop,Soul",English
38910,"Call It What You Want","Foster The People",2011,0,0,2013-12-03,"Alternative,Pop,Rock",English
43385,"What Hurts The Most","Boyce Avenue",2008,0,0,2013-05-01,"Soft rock,Pop",English
34869,"What's On Tonight","Montell Jordan",1997,0,0,2014-05-30,"R&B,Rap",English
